Group,class,Latitude,DENSITY,LnDENSITY,Longitude,npp,biodiv,pathos
Wind River Shoshoni,1,43.19,0.0187,-1.728158393,-108.86,440.2328722,0.228729334,-0.895374269
Honey Lake Paiute,1,40.27,0.106,-0.974694135,-120.44,739.1331794,0.229723308,-0.817494244
Maidu (Mountain),2,40.28,0.235,-0.628932138,-120.56,949.3838916,0.229938144,-0.816984059
Jaralde,1,-35.06,0.4,-0.397940009,139.29,620.5335338,0.230888451,-0.468474245
Ojibwa (Kitchibaun),1,45.21,0.05,-1.301029996,-85.1,1120.170623,0.232585149,-0.846463624
Rainy River Ojibwa,1,45.21,0.0121,-1.91721463,-85.1,1120.170623,0.232585149,-0.846463624
Wikmunkan,1,-13.47,0.0841,-1.075204004,142,1944.367315,0.232974564,-0.335468222
Nisenan,2,39.03,0.3975,-0.400662867,-121.15,1543.290262,0.23505975,-0.780139708
Worora,1,-15.32,0.11,-0.958607315,124.72,1733.729091,0.236772934,-0.059990702
Tututni,2,42.61,0.6707,-0.173471694,-124.04,1406.37188,0.237511438,-0.866751691
Mirrngadja,1,-12.31,0.385,-0.41453927,135.2,1694.455378,0.237749458,-0.306925881
Anbara,1,-12.2,0.437,-0.359518563,134.73,1628.703985,0.237803756,-0.298628267
Uintah-ute,1,40.47,0.0748,-1.126098402,-110.22,500.6960111,0.237939201,-0.846154933
Kakadu,1,-13.13,0.088,-1.055517328,132.95,1821.356397,0.238341968,-0.269265433
Gunwinggu,1,-12.43,0.1784,-0.74860515,134.12,1683.137137,0.238634524,-0.28757093
Atsugewi,2,40.75,0.1793,-0.74641971,-121.12,1070.524148,0.239143506,-0.829856708
Gidjingali,1,-12.18,0.727,-0.138465589,134.4,1660.20544,0.239419368,-0.292653162
Coeur d'Alene,2,47.42,0.015,-1.823908741,-116.34,990.0564197,0.239543219,-0.941404733
Mulluk,2,-13.58,0.45,-0.346787486,130.58,1733.729091,0.240348904,-0.214927175
Jeidji (Forest-river),1,-15.55,0.17,-0.769551079,128.19,1159.737382,0.241911017,-0.176965038
Cowichan,2,48.41,0.3475,-0.459045191,-123.64,1291.58198,0.242381971,-0.919346755
/Xam,1,-31.47,0.0243,-1.614393726,19.77,455.4844235,0.243734853,-0.154677328
Lipan Apache,1,28.96,0.0051,-2.292429824,-98.48,1093.821812,0.243899219,-0.288318621
Kalispel,1,47.94,0.015,-1.823908741,-115.67,1070.524148,0.244404193,-0.946753542
Ute-timanogas,1,40.22,0.0347,-1.459670525,-111.81,719.532904,0.244404501,-0.844838334
Nez-perce,2,46.25,0.0888,-1.051587034,-116.46,1008.427976,0.2445149,-0.931888592
Karuna,1,-34.56,0.18,-0.744727495,138.4,689.046318,0.245220456,-0.46674063
Klamath,1,42.62,0.1336,-0.874193542,-121.5,805.6885905,0.24546274,-0.869820345
Tillamook,2,45.4,0.4132,-0.383839687,-123.82,1335.514097,0.24613897,-0.895853193
Lillooet,3,50.46,0.235,-0.628932138,-123,882.8318153,0.246596079,-0.940937152
Wishram,2,45.72,2.317,0.364926034,-121.13,884.3792068,0.246816095,-0.91088296
Sheep-eater Shoshoni,1,45.17,0.0624,-1.20481541,-113.84,564.5871543,0.247345128,-0.924796054
Flathead,2,46.28,0.015,-1.823908741,-113.26,746.626811,0.24778265,-0.935958934
Wukchumi,1,36.45,0.2421,-0.616005211,-118.96,969.7066527,0.247982271,-0.702817975
Patwin,1,39.08,0.82,-0.086186148,-122.05,761.5396436,0.24810797,-0.776405452
Modoc,2,42,0.0562,-1.250263684,-121.31,622.1129751,0.24830557,-0.857880227
Tekelma,2,42.44,0.1285,-0.891096872,-123.48,1398.193125,0.248727705,-0.866115786
Chumash,3,34.63,1.182,0.072617477,-119.6,1049.003459,0.248862064,-0.63800277
North River Paiute,2,37,0.1604,-0.794795636,-119.07,1182.808298,0.248931934,-0.719313355
Achumawi,2,41.32,0.1725,-0.763210901,-121.19,846.1083221,0.250170839,-0.842702477
Nomlaki,1,40,0.6944,-0.158390288,-122.56,1121.464867,0.250605987,-0.802374446
Yavapai,1,33.37,0.0148,-1.829738285,-110.5,699.7627066,0.251344286,-0.595698018
Chehalis,2,46.87,0.2197,-0.658169943,-123.67,1388.60546,0.25203828,-0.905204902
Uncompahgre Ute,1,38.14,0.0429,-1.367542708,-107.8,860.7539755,0.252729549,-0.778561471
Wenatchi,2,47.41,0.5017,-0.299555899,-120.31,495.7124356,0.25299082,-0.92675348
Alsea,2,44.42,0.968,-0.014124643,-123.84,1415.265305,0.253248417,-0.886801511
Miwok (Lake),2,38.79,0.65,-0.187086643,-122.48,1281.389202,0.253268664,-0.765036036
Kutenai,2,47.48,0.0201,-1.696803943,-114.08,749.6173044,0.253816106,-0.945653099
Miwok,1,38,0.2454,-0.610125442,-119.77,1222.072625,0.253979926,-0.749238435
Wappo,2,38.59,1.206,0.081347308,-122.54,1511.01856,0.254987565,-0.759771857
Lessik,2,40.18,0.972,-0.012333735,-123.16,1282.836617,0.256951073,-0.813202855
Makah,3,48.22,1.23,0.089905111,-124.58,1300.341814,0.257078561,-0.915165114
Yuki (Proper),2,39.7,1.316,0.119255889,-123.15,1531.195501,0.257915668,-0.796254714
Eastern Pomo,2,39.03,1.27,0.103803721,-122.94,1349.608902,0.258180075,-0.773260499
Clear-Lake Pomo,2,39.12,3.087,0.489536629,-122.94,1349.608902,0.258180075,-0.773260499
Coos,2,43.43,1.042,0.017867719,-124.11,1486.575358,0.25880546,-0.876051718
Pomo (Southern),2,38.54,1.108,0.04453976,-122.88,1583.353741,0.259086756,-0.759113501
Pomo (Northern),2,39.34,1.084,0.035029282,-123.29,1584.659934,0.259428044,-0.784709536
Yana,2,40.38,0.313,-0.504455662,-122.89,1450.892556,0.261100169,-0.818681079
Sinkaietk,3,48.78,0.1451,-0.838332588,-119.56,574.2705369,0.261236973,-0.939766881
Chinook,2,46.06,0.338,-0.4710833,-123.75,1388.60546,0.262254743,-0.900406158
Tolowa,2,41.87,0.5714,-0.243059764,-123.92,1397.485058,0.262410904,-0.859382355
Puyallup,2,47.11,0.3675,-0.434742657,-122.04,1344.337429,0.262505077,-0.914052084
Sinkyone,2,40.1,0.9644,-0.015742798,-123.96,1540.115432,0.262696165,-0.80734943
Wintu,2,40.9,0.5882,-0.23047498,-122.35,1708.344468,0.263649994,-0.833655553
Okanogan,2,49.46,0.1327,-0.877129077,-119.63,540.2092418,0.264135899,-0.94454302
Kurnai,1,-37.59,0.177,-0.752026734,147.42,1266.489941,0.264162299,-0.483110596
Kaurareg,1,-10.77,0.35,-0.455931956,142.12,2005.60395,0.264333152,-0.325885681
Karok,2,41.58,0.469,-0.328827157,-123.47,1265.391631,0.265310523,-0.853256299
Mattole,1,40.17,1.164,0.06595298,-124.04,1468.729531,0.265913656,-0.812731367
Quileute,3,47.77,1.043,0.018284308,-124.14,1256.693158,0.267208552,-0.91096774
Walmbaria,1,-14.34,0.58,-0.236572006,144.22,1680.511332,0.269418403,-0.323569435
!Kung,1,-20,0.066,-1.180456064,21.18,742.1336178,0.270551481,-0.073538515
Squamish,2,49.77,0.565,-0.247951552,-123.19,990.0564197,0.271689661,-0.934026673
Clallam,3,47.95,0.7,-0.15490196,-123.55,990.0564197,0.27241311,-0.913745491
Salinan,2,35.47,0.374,-0.427128398,-120.84,601.498209,0.2725265,-0.666245314
Quinault,3,47.38,0.852,-0.069560405,-123.82,1213.463617,0.272652558,-0.908363542
Chimariko,1,40.85,0.5,-0.301029996,-123.3,1230.700635,0.273225986,-0.834797659
Yurok,2,41.4,1.31,0.117271296,-123.89,1468.729531,0.273603125,-0.851268641
Twana,2,47.55,0.2684,-0.571217489,-123.16,1213.463617,0.274122836,-0.911659377
Lummi,3,48.84,1.0463,0.019656225,-122.34,1379.733707,0.274293214,-0.928807507
Yintjingga,1,-14.01,0.31,-0.508638306,143.5,1788.828239,0.275671058,-0.327370432
Wiyot,2,40.75,1.0793,0.033142177,-124.14,1540.115432,0.276302938,-0.829279823
Hupa,2,40.93,0.8,-0.096910013,-123.61,1522.273363,0.276862759,-0.835196045
Larikia,1,-12.6,0.4,-0.397940009,130.78,1962.435346,0.277608875,-0.208273856
Chenchu,1,16.25,1.233,0.090963077,78.97,1118.968515,0.27878674,0.59896524
Yuki (Coast),1,39.64,0.6696,-0.174184555,-123.74,1540.115432,0.282306601,-0.790653929
Shompen,1,7,0.39537,-0.402996287,93.77,2349.867903,0.286394554,-0.147388149
Karankawa,1,28.44,0.21,-0.677780705,-96.91,1411.960417,0.286952188,-0.2523755
Calusa,3,26.5,0.3873,-0.411952503,-82,1760.350983,0.287559262,-0.140611221
Miwok (Coast),1,38.24,0.5357,-0.271078354,-122.88,1451.528541,0.288343988,-0.750114086
Stalo,2,49.23,0.66,-0.180456064,-122.7,1353.171664,0.290339205,-0.930829799
