Continent,Country,DENSITY,LnDENSITY,ECI,Longitude,Latitude,npp,npp2,biodiv,biodiv2,pathos,DivDiff
Africa,Mozambique,20.43335938,1.310339773,-0.61906517,35.53367351,-17.27381898,1440.177101,2074110.082,0.422182503,1782.380658,0.317076526,0.183182503
Africa,Nigeria,116.3514911,2.065771953,-1.961102,8.08944243,9.59411807,1901.461908,3615557.388,0.399823076,1598.584921,0.724099667,0.160823076
Africa,Senegal,44.43560758,1.647731123,-0.596565279,-14.47348904,14.36624381,1022.921424,1046368.24,0.259633101,674.0934713,0.868779908,0.020633101
Africa,SouthAfrica,30.90916218,1.490087233,0.198468595,25.08388384,-29.0003377,743.6323435,552989.0623,0.249957781,624.7889228,-0.084457521,0.010957781
Africa,SriLanka,273.664886,2.437219077,-0.530447,80.70107795,7.61266309,2275.553752,5178144.878,0.38708938,1498.381881,0.319006717,0.14808938
Africa,Sudan,9.709610343,0.987201802,-1.247505675,29.94047226,15.99035431,205.7484509,42332.42505,0.124736196,155.5911859,0.465898769,0.114263804
Africa,Tanzania,32.56832838,1.512795468,-1.159622275,34.81310214,-6.27565815,958.8930389,919475.8601,0.402640661,1621.195019,0.5458693,0.163640661
Africa,Trinidad,234.7974025,2.370693288,-0.170786143,-61.26565805,10.45735757,2280.82583,5202166.467,0.570301145,3252.43396,0.274219,0.331301145
Africa,Tunisia,53.50559974,1.728399236,0.122190713,9.55288287,34.11956663,286.2042825,81912.89132,0.178206063,317.5740089,0.014351652,0.060793937
Africa,Zambia,12.09536149,1.082618853,-0.65621726,27.77475082,-13.45824537,1572.020813,2471249.437,0.440223499,1937.967291,0.307706296,0.201223499
Africa,Zimbabwe,27.23709149,1.43516073,-0.250583064,29.85145031,-19.00420587,1072.182973,1149576.328,0.406623681,1653.428179,0.17924034,0.167623681
Asia,Bangladesh,869.0199231,2.939029733,-0.763602164,90.23812793,23.86730412,2198.619739,4833928.757,0.320605595,1027.879475,0.593183028,0.081605595
Asia,Cambodia,73.14517241,1.864185668,-0.976510611,104.9069431,12.72004932,1935.215652,3745059.62,0.45145094,2038.079512,0.379479052,0.21245094
Asia,China,122.3681331,2.087668334,0.5480769,103.8190739,36.56176801,564.5871543,318758.6548,0.209827874,440.2773671,0.191307871,0.029172126
Asia,India,309.5031393,2.490665058,0.257827185,79.61197355,22.88578035,1584.294082,2509987.738,0.322932237,1042.852297,0.631613106,0.083932237
Asia,Indonesia,103.5736148,2.015249134,-0.618987,106.84513,-6.21462,2202.865384,4852615.9,0.471790278,2225.860664,0.239905394,0.232790278
Asia,Japan,335.6855782,2.525932683,2.243022,139.8354,35.6528,1842.29883,3394064.979,0.32252876,1040.24801,-0.017463315,0.08352876
Asia,Kazakhstan,5.745680748,0.759341491,-0.160976958,67.29149657,48.15687954,367.8413509,135307.2594,0.144433107,208.609224,-0.303959566,0.094566893
Asia,"Korea, Rep.",448.5949727,2.651854402,1.199684625,127.8391693,36.3852463,1459.809622,2131044.132,0.248215779,616.1107294,0.236676852,0.009215779
Asia,Kyrgyz,26.37999141,1.42127465,-0.191831467,74.54165548,41.46221785,724.0710729,524278.9186,0.289036475,835.4208388,-0.134718433,0.050036475
Asia,Malaysia,60.19439705,1.779556069,0.290629495,101.68653,3.1412,2401.650179,5767923.582,0.676646706,4578.507647,0.129857239,0.437646706
Asia,Mongolia,1.529136306,0.1844462,-0.597857971,103.0529965,46.82681435,492.3845324,242442.5277,0.144867834,209.8668933,-0.337802279,0.094132166
Asia,Pakistan,150.6900351,2.178084534,-0.38483742,69.33958027,29.94975221,606.271269,367564.8516,0.15548252,241.7481403,0.299552223,0.08351748
Asia,Philippines,223.0289942,2.348361326,-0.07430373,120.9822,14.6042,2251.59553,5069682.431,0.428032621,1832.119246,0.099698159,0.189032621
Asia,Singapore,47.57906034,1.677415861,1.088229625,103.8172532,1.35877066,2419.264405,5852840.261,0.559055368,3125.429045,0.1519644,0.320055368
Asia,Tajikistan,47.35695858,1.675383803,-0.63346015,71.01363312,38.53045125,605.6813298,366849.8733,0.261234717,682.4357737,-0.025638812,0.022234717
Asia,Thailand,110.7630696,2.044394983,0.222436523,101.0028835,15.11816347,1671.720775,2794650.35,0.410130389,1682.06936,0.368540122,0.171130389
Asia,Turkmenistan,9.895758831,0.995449103,-0.960321632,59.37099935,39.11554017,259.0398227,67101.62974,0.138054942,190.5916701,0.030036362,0.100945058
Asia,Uzbekistan,60.50096504,1.781762302,-0.44705909,63.14001799,41.75554081,226.0833109,51113.66347,0.131558621,173.0767076,-0.081541135,0.107441379
Asia,Vietnam,213.5867642,2.329574336,-0.355629473,106.2991386,16.64601451,2183.038829,4765658.529,0.543831486,2957.526852,0.458650326,0.304831486
Australia,Australia,2.295192937,0.360819199,0.1199119,134.4909988,-25.73288736,325.5592618,105988.8329,0.14467522,209.3091928,-0.48594288,0.09432478
Australia,NewZeland,13.68483916,1.136239697,0.491539625,171.4849539,-41.81112825,1620.191775,2625021.388,0.171352307,293.6161311,-0.647060452,0.067647693
C.America,Costa,64.98070212,1.8127844,-0.086541898,-84.19208786,9.9763424,2276.995412,5184708.106,0.671386322,4507.595934,0.252832994,0.432386322
C.America,Cuba,98.74209716,1.994502347,-0.526276756,-79.01606913,21.62290023,1620.484585,2625970.29,0.310692385,965.297581,-0.044558597,0.071692385
C.America,Dominican,155.8210086,2.192626011,-0.31511679,-70.50569086,18.8943308,1710.822667,2926914.198,0.350920334,1231.450808,0.018373519,0.111920334
C.America,Guatemala,94.04820455,1.973350509,-0.3746184,-90.36482288,15.69404158,2520.714009,6353999.115,0.619933941,3843.180912,0.203333908,0.380933941
C.America,Honduras,47.04222987,1.6724879,-0.640561878,-86.61516846,14.82688225,1701.372044,2894666.832,0.501834386,2518.37751,0.126410951,0.262834386
C.America,Jamaica,222.5533678,2.347434171,-0.434974095,-77.31482556,18.15695476,1967.932276,3872757.443,0.330592987,1092.917231,0.017029639,0.091592987
C.America,Nicaragua,35.99604163,1.556254745,-0.765397085,-85.03052894,12.84709633,2483.315949,6166858.103,0.527375548,2781.249686,0.143002934,0.288375548
C.America,Panama,36.20202554,1.55873287,0.269721928,-80.11915152,8.5175119,2481.253374,6156618.306,0.660436393,4361.762292,0.303422472,0.421436393
Europe,Albania,107.1078239,2.029821196,-0.088097583,20.04983034,41.14245128,1518.907059,2307078.654,0.334119864,1116.360835,0.117674898,0.095119864
Europe,Austria,95.29437767,1.979067278,1.829245,14.12647809,47.58549847,868.076536,753556.8724,0.277960685,772.6214241,-0.095732913,0.038960685
Europe,Belarus,48.36635533,1.684543362,0.833895737,28.03208711,53.53131155,995.1599367,990343.2996,0.240870855,580.1876879,-0.345644221,0.001870855
Europe,Belgium,335.0447855,2.525102863,1.46284718,4.64064572,50.63981435,1275.673932,1627343.981,0.204997043,420.2378764,-0.303679712,0.034002957
Europe,Bosnia,74.78592516,1.873819871,0.500041421,17.76876588,44.17449912,1256.693158,1579277.693,0.261843273,685.6189962,0.049327846,0.022843273
Europe,Bulgaria,75.94177846,1.880480764,0.742400725,25.21552327,42.76889988,1103.920585,1218640.658,0.262256971,687.7871884,0.034569062,0.023256971
Europe,Croatia,79.75773099,1.90177279,0.820131316,16.40413079,45.08047284,1457.685379,2124846.664,0.257212969,661.5851142,0.017650141,0.018212969
Europe,Czech,133.493128,2.12545891,1.583762778,15.31240065,49.73341073,1013.710573,1027609.126,0.22193252,492.5404343,-0.174903635,0.01706748
Europe,Denmark,123.7791175,2.092647382,1.46284175,10.02799418,55.98126391,1030.782435,1062512.428,0.203380208,413.6350901,-0.414451641,0.035619792
Europe,Estonia,32.37388783,1.510194858,0.657581263,25.54248555,58.67192416,990.0564197,980211.7142,0.221713015,491.5666102,-0.495353602,0.017286985
Europe,Finland,16.53440304,1.21838852,1.761323175,26.27467024,64.49884844,735.4770841,540926.5412,0.146602211,214.9220827,-0.650421969,0.092397789
Europe,France,108.0705955,2.033707545,1.6322325,2.53618475,46.18700581,1196.032712,1430494.248,0.224269241,502.9669246,-0.234456011,0.014730759
Europe,Georgia,61.6770304,1.790123455,0.11261889,43.50778995,42.16855944,1179.228429,1390579.688,0.34286938,1175.594117,-0.032963779,0.10386938
Europe,Germany,234.5561044,2.37024674,2.129119546,10.38577693,51.10697903,1072.182973,1149576.328,0.21265666,452.2285504,-0.25675903,0.02634334
Europe,Greece,79.81261579,1.902071545,0.346208375,22.95556207,39.07466973,934.3513596,873012.4632,0.310053413,961.3311891,0.111893459,0.071053413
Europe,Hungary,115.3508584,2.062020831,1.140875175,19.39559381,47.16277712,891.3914211,794578.6656,0.243428436,592.5740345,-0.063583509,0.004428436
Europe,Ireland,54.10696727,1.733253192,1.4055193,-8.13793167,53.1754426,1335.514097,1783597.903,0.150386404,226.1607051,-0.466579878,0.088613596
Europe,Italy,193.8147726,2.287386876,1.5846065,12.07000946,42.79663568,1184.014513,1401890.367,0.250701585,628.5128472,0.068557494,0.011701585
Europe,Latvia,36.7512687,1.565272336,0.487541642,24.9123704,56.85085306,1037.978668,1077399.715,0.217802027,474.3772297,-0.437761022,0.021197973
Europe,Lithuania,53.77494079,1.730579941,0.48183,23.88720035,55.32611078,1007.105133,1014260.749,0.226623284,513.5811285,-0.380672168,0.012376716
Europe,"Macedonia, FYR",79.8582117,1.902319581,-0.050990133,21.68211343,41.59531059,880.1606899,774682.84,0.310919467,966.7091496,0.097706045,0.071919467
Europe,Mauritius,537.1543596,2.730099105,-0.193906848,57.57120758,-20.2777156,2167.707811,4698957.154,0.294810508,869.1323563,0.420760192,0.055810508
