GROUP,Latitude,Longitude,class,class2,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,DivDiff
Azande,5.41,27.11,2,1,10.67068833,1.028192435,1853.772301,0.353518695,0.713198364,3436471.744,1249.754674,0.024481305
Bemba,-11,31,3,1,2.180801527,0.338616143,1686.630085,0.450781156,0.367541073,2844721.042,2032.036506,0.072781156
Betsileo  (subprefecture),-18.78,47.46,3,1,25.63015325,1.408751203,1763.639122,0.255726188,0.515512902,3110422.954,653.9588339,0.122273812
Bhaca,-28.5,31.09,2,1,30.69059417,1.487005296,1288.222527,0.402234647,0.041963042,1659517.279,1617.927109,0.024234647
Boyela (4 subtribes),-1,23.25,2,1,2.2,0.342422681,2152.089093,0.391101525,0.662413943,4631487.465,1529.604032,0.013101525
Cayua,-23,-54,1,0,0.875,-0.057991947,1853.772301,0.496161854,0.034839819,3436471.744,2461.765856,0.118161854
Cocopa,32.5,-114.75,1,0,0.48828125,-0.311329952,151.4209566,0.165833568,-0.560021944,22928.30611,275.0077221,0.212166432
Creek,33,-83,2,1,0.329989404,-0.481500005,1618.651372,0.242719768,-0.324953117,2620032.264,589.1288557,0.135280232
Delaware,40,-75.45,1,0,0.255813954,-0.59207577,1575.760481,0.246684563,-0.63976504,2483021.092,608.5327383,0.131315437
Dogon,14.21,-3.37,2,1,6.792811321,0.832049552,873.1111276,0.289629395,0.700833804,762323.0412,838.8518627,0.088370605
Garo,25.35,90.25,2,1,16.94426336,1.229022693,2465.623786,0.42582558,0.615546178,6079300.654,1813.274246,0.04782558
Goba,-15.85,29.67,3,1,5.56467147,0.745439529,1133.89702,0.408666915,0.254188815,1285722.451,1670.086473,0.030666915
Guahibo,5.38,-68.31,1,0,0.34,-0.468521083,2438.228284,0.546434455,0.118390611,5944957.166,2985.906137,0.168434455
Hanunoo,12.46,121.36,1,0,22.74193548,1.356827423,2570.691589,0.428643759,0.038103455,6608455.245,1837.354719,0.050643759
Hasinai,31.02,-94.48,1,0,0.277777778,-0.5563025,1688.373082,0.262067647,-0.346736347,2850603.665,686.794514,0.115932353
Havasupai,36.13,-112.36,1,0,0.032299742,-1.490800947,633.139748,0.215020422,-0.754411842,400865.9405,462.33782,0.162979578
Hidatsa,47.5,-101.3,1,0,0.094117647,-1.026328939,742.1336178,0.171233029,-0.944195215,550762.3067,293.2075036,0.206766971
Hunzakut,36.5,75,2,1,4.088607595,0.611575431,249.9247122,0.204731773,0.042713658,62462.36179,419.1509899,0.173268227
Huron,44,-78,2,1,9.933774834,0.997114312,1187.756031,0.179206251,-0.818669312,1410764.39,321.1488044,0.198793749
